team,year,win,games_played,win_pct,points_scored,points_allowed,point_diff,rank,points
BYU,2015,9,13,0.6923076923076923,438,297,141,66,152.55
BYU,2016,9,13,0.6923076923076923,384,254,130,64,161.71
BYU,2017,4,13,0.3076923076923077,222,321,-99,65,165.06
BYU,2018,7,13,0.5384615384615384,354,278,76,49,177.85
BYU,2019,7,13,0.5384615384615384,370,331,39,66,167.37
BYU,2020,11,12,0.9166666666666666,522,184,338,78,160.52
BYU,2021,10,13,0.7692307692307693,430,322,108,81,156.76
BYU,2022,8,13,0.6153846153846154,407,383,24,78,159.91
BYU,2023,5,12,0.4166666666666667,277,358,-81,71,159.77
Ball State,2015,3,12,0.25,277,430,-153,105,107.69
Ball State,2016,4,12,0.3333333333333333,324,361,-37,101,107.53
Ball State,2017,2,12,0.1666666666666666,215,488,-273,105,119.7
Ball State,2018,4,12,0.3333333333333333,290,389,-99,113,110.91
Ball State,2019,5,12,0.4166666666666667,418,377,41,90,128.8
Ball State,2020,7,8,0.875,274,206,68,119,115.57
Ball State,2021,6,13,0.4615384615384615,313,369,-56,125,122.89
Ball State,2022,5,12,0.4166666666666667,279,323,-44,122,131.5
Ball State,2023,4,12,0.3333333333333333,219,293,-74,95,140.07
Baylor,2015,10,13,0.7692307692307693,625,368,257,27,209.23
Baylor,2016,7,13,0.5384615384615384,450,377,73,25,218.13
Baylor,2017,1,12,0.0833333333333333,292,431,-139,36,195.88
Baylor,2018,7,13,0.5384615384615384,384,412,-28,40,191.99
Baylor,2019,11,14,0.7857142857142857,471,277,194,40,193.36
Baylor,2020,2,9,0.2222222222222222,210,263,-53,29,215.02
Baylor,2021,12,14,0.8571428571428571,443,256,187,35,203.39
Baylor,2022,6,13,0.4615384615384615,418,349,69,54,181.12
Baylor,2023,3,12,0.25,277,400,-123,44,190.18
Bethune-Cookman,2015,9,11,0.8181818181818182,345,275,70,155,23.74
Bethune-Cookman,2016,4,10,0.4,252,252,0,163,20.62
Bethune-Cookman,2017,7,11,0.6363636363636364,228,263,-35,170,26.73
Bethune-Cookman,2018,7,12,0.5833333333333334,359,365,-6,155,56.07
Bethune-Cookman,2019,7,11,0.6363636363636364,268,285,-17,235,7.76
Bethune-Cookman,2021,2,11,0.1818181818181818,270,399,-129,230,11.54
Boise State,2015,9,13,0.6923076923076923,508,263,245,55,173.51
Boise State,2016,10,13,0.7692307692307693,439,303,136,63,163.09
Boise State,2017,11,14,0.7857142857142857,455,320,135,58,171.68
Boise State,2018,10,13,0.7692307692307693,460,287,173,68,160.66
Boise State,2019,12,14,0.8571428571428571,486,306,180,64,167.43
Boise State,2020,5,7,0.7142857142857143,237,190,47,57,183.46
Boise State,2021,7,12,0.5833333333333334,350,228,122,50,189.93
Boise State,2022,10,14,0.7142857142857143,413,273,140,65,167.92
Boise State,2023,8,14,0.5714285714285714,450,358,92,70,161.13
Boston College,2015,3,12,0.25,206,183,23,86,126.19
Boston College,2016,7,13,0.5384615384615384,265,325,-60,51,177.12
Boston College,2017,7,13,0.5384615384615384,334,297,37,60,169.45
Boston College,2018,7,12,0.5833333333333334,384,308,76,78,146.69
Boston College,2019,6,13,0.4615384615384615,377,418,-41,67,162.61
Boston College,2020,6,11,0.5454545454545454,306,312,-6,71,172.47
Boston College,2021,6,12,0.5,296,266,30,63,177.26
Boston College,2022,3,12,0.25,213,364,-151,63,170.36
Boston College,2023,7,13,0.5384615384615384,323,368,-45,36,201.66
Bowling Green,2015,10,14,0.7142857142857143,591,405,186,85,131.36
Bowling Green,2016,4,12,0.3333333333333333,298,460,-162,106,102.64
Bowling Green,2017,2,12,0.1666666666666666,304,456,-152,104,119.83
Bowling Green,2018,3,12,0.25,292,480,-188,111,111.58
Bowling Green,2019,3,12,0.25,192,463,-271,81,138.14
Bowling Green,2020,0,5,0.0,57,225,-168,91,144.03
Bowling Green,2021,4,12,0.3333333333333333,257,368,-111,129,115.37
Bowling Green,2022,6,13,0.4615384615384615,305,423,-118,85,154.4
Bowling Green,2023,7,13,0.5384615384615384,340,312,28,103,133.73
Brown,2015,5,10,0.5,279,329,-50,181,11.99
Brown,2018,1,10,0.1,143,362,-219,236,10.69
Brown,2019,2,10,0.2,300,402,-102,174,37.71
Brown,2022,3,10,0.3,231,351,-120,180,28.57
Brown,2023,5,10,0.5,255,290,-35,162,15.57
Bryant,2022,4,11,0.3636363636363636,366,331,35,232,8.98
Bucknell,2015,4,11,0.3636363636363636,172,206,-34,199,7.79
Bucknell,2016,4,11,0.3636363636363636,232,263,-31,235,6.31
Bucknell,2017,5,11,0.4545454545454545,185,249,-64,207,11.95
Bucknell,2018,1,11,0.0909090909090909,147,311,-164,210,19.13
Bucknell,2021,1,11,0.0909090909090909,104,417,-313,222,14.96
Bucknell,2022,3,11,0.2727272727272727,141,312,-171,201,19.97
Buffalo,2015,5,12,0.4166666666666667,320,331,-11,128,72.53
Buffalo,2016,2,12,0.1666666666666666,198,388,-190,100,108.06
Buffalo,2017,6,12,0.5,342,298,44,118,103.21
Buffalo,2018,10,14,0.7142857142857143,484,363,121,118,107.51
Buffalo,2019,8,13,0.6153846153846154,409,277,132,113,112.97
Buffalo,2020,6,7,0.8571428571428571,304,153,151,136,81.31
Buffalo,2021,4,12,0.3333333333333333,351,359,-8,106,134.64
Buffalo,2022,7,13,0.5384615384615384,371,347,24,130,114.94
Buffalo,2023,3,12,0.25,251,329,-78,98,137.78
Butler,2016,4,11,0.3636363636363636,270,318,-48,287,-0.03
Butler,2017,6,11,0.5454545454545454,294,275,19,230,6.67
Butler,2020,0,6,0.0,91,175,-84,207,11.15
Cal Poly,2016,7,12,0.5833333333333334,416,394,22,229,6.67
Cal Poly,2017,1,11,0.0909090909090909,203,352,-149,155,34.98
Cal Poly,2018,5,11,0.4545454545454545,315,400,-85,189,29.43
Cal Poly,2019,3,11,0.2727272727272727,277,375,-98,213,14.46
Cal Poly,2020,0,3,0.0,58,169,-111,233,5.97
Cal Poly,2021,2,11,0.1818181818181818,169,431,-262,179,34.79
Cal Poly,2022,2,11,0.1818181818181818,241,467,-226,135,94.88
Cal Poly,2023,3,11,0.2727272727272727,226,434,-208,131,62.42
California,2015,8,13,0.6153846153846154,493,399,94,41,190.85
California,2016,5,12,0.4166666666666667,445,511,-66,55,174.52
California,2017,5,12,0.4166666666666667,333,341,-8,34,198.77
California,2018,7,13,0.5384615384615384,280,258,22,31,207.8
California,2019,8,13,0.6153846153846154,276,285,-9,70,159.53
California,2020,1,4,0.25,81,106,-25,42,197.41
California,2021,5,12,0.4166666666666667,285,267,18,43,196.48
California,2022,4,12,0.3333333333333333,287,334,-47,39,198.0
California,2023,6,13,0.4615384615384615,393,426,-33,28,209.2
Campbell,2016,5,10,0.5,281,244,37,236,5.95
Campbell,2018,6,11,0.5454545454545454,273,242,31,244,6.67
Campbell,2019,6,11,0.5454545454545454,325,341,-16,222,11.39
Campbell,2020,0,4,0.0,82,188,-106,185,17.51
Campbell,2022,5,11,0.4545454545454545,341,311,30,228,10.98
Campbell,2023,5,11,0.4545454545454545,316,366,-50,192,6.8
Central Arkansas,2015,6,10,0.6,268,263,5,145,28.88
Central Arkansas,2016,10,13,0.7692307692307693,430,282,148,182,15.73
Central Arkansas,2017,10,12,0.8333333333333334,429,210,219,184,21.06
Central Arkansas,2018,6,11,0.5454545454545454,336,287,49,148,62.3
Central Arkansas,2019,9,13,0.6923076923076923,361,346,15,236,7.63
Central Arkansas,2020,5,9,0.5555555555555556,291,261,30,155,37.36
Central Arkansas,2021,5,11,0.4545454545454545,379,316,63,136,106.84
Central Arkansas,2022,5,11,0.4545454545454545,353,351,2,150,61.89
Central Arkansas,2023,7,11,0.6363636363636364,337,246,91,146,30.3
Central Connecticut,2018,6,11,0.5454545454545454,372,280,92,256,6.67
Central Michigan,2015,7,13,0.5384615384615384,336,286,50,104,108.05
Central Michigan,2016,6,13,0.4615384615384615,342,394,-52,116,91.2
Central Michigan,2017,8,13,0.6153846153846154,370,358,12,97,123.63
Central Michigan,2018,1,12,0.0833333333333333,180,328,-148,107,112.52
Central Michigan,2019,8,14,0.5714285714285714,426,396,30,93,127.4
Central Michigan,2020,3,6,0.5,188,181,7,120,111.22
Central Michigan,2021,9,13,0.6923076923076923,420,335,85,104,137.96
Central Michigan,2022,4,12,0.3333333333333333,297,338,-41,123,130.86
Central Michigan,2023,5,12,0.4166666666666667,278,373,-95,87,146.12
Charleston Southern,2016,7,11,0.6363636363636364,363,244,119,135,48.6
Charleston Southern,2017,6,11,0.5454545454545454,250,218,32,209,11.13
Charleston Southern,2018,5,11,0.4545454545454545,233,259,-26,201,24.29
Charleston Southern,2019,6,12,0.5,267,371,-104,210,15.53
Charleston Southern,2020,2,4,0.5,83,80,3,196,15.0
Charleston Southern,2021,4,10,0.4,245,289,-44,235,9.03
Charleston Southern,2023,4,11,0.3636363636363636,176,321,-145,158,19.5
Charlotte,2015,2,12,0.1666666666666666,210,435,-225,112,100.75
Charlotte,2016,4,12,0.3333333333333333,302,415,-113,119,89.2
Charlotte,2017,1,12,0.0833333333333333,170,393,-223,126,86.91
Charlotte,2018,5,12,0.4166666666666667,260,319,-59,119,106.83
Charlotte,2019,7,13,0.5384615384615384,388,421,-33,114,111.82
Charlotte,2020,2,6,0.3333333333333333,162,195,-33,111,120.43
Charlotte,2021,5,12,0.4166666666666667,326,408,-82,132,112.69
Charlotte,2022,3,12,0.25,293,473,-180,88,152.55
Charlotte,2023,3,12,0.25,210,343,-133,101,134.83
Chattanooga,2015,9,13,0.6923076923076923,384,291,93,138,34.29
Chattanooga,2016,9,13,0.6923076923076923,445,255,190,131,69.28
Chattanooga,2017,3,11,0.2727272727272727,195,284,-89,131,63.37
Chattanooga,2018,6,11,0.5454545454545454,236,231,5,183,34.03
Chattanooga,2019,6,12,0.5,315,360,-45,151,60.61
Chattanooga,2020,3,5,0.6,107,103,4,139,80.04
Chattanooga,2021,6,11,0.5454545454545454,293,188,105,178,34.93
Chattanooga,2023,8,13,0.6153846153846154,357,319,38,175,12.15
Cincinnati,2015,7,13,0.5384615384615384,440,405,35,60,162.33
Cincinnati,2016,4,12,0.3333333333333333,232,323,-91,65,161.43
Cincinnati,2017,4,12,0.3333333333333333,251,382,-131,68,162.45
Cincinnati,2018,11,13,0.8461538461538461,454,224,230,74,152.74
Cincinnati,2019,11,14,0.7857142857142857,415,288,127,63,167.8
Cincinnati,2020,9,10,0.9,375,168,207,48,192.64
Cincinnati,2021,13,14,0.9285714285714286,516,236,280,79,158.17
Cincinnati,2022,9,13,0.6923076923076923,380,268,112,40,194.95
Cincinnati,2023,3,12,0.25,289,360,-71,42,190.66
Clemson,2015,14,15,0.9333333333333332,577,325,252,15,249.66
Clemson,2016,14,15,0.9333333333333332,588,270,318,16,240.73
Clemson,2017,12,14,0.8571428571428571,466,190,276,9,277.98
Clemson,2018,15,15,1.0,664,197,467,11,271.16
Clemson,2019,14,15,0.9333333333333332,659,203,456,16,238.91
Clemson,2020,10,12,0.8333333333333334,522,242,280,7,283.67
Clemson,2021,10,13,0.7692307692307693,342,193,149,10,275.55
Clemson,2022,11,14,0.7857142857142857,465,292,173,3,309.73
Clemson,2023,9,13,0.6923076923076923,388,274,114,5,291.2
Coastal Carolina,2015,9,12,0.75,421,241,180,137,35.72
Coastal Carolina,2016,10,12,0.8333333333333334,447,232,215,168,19.95
Coastal Carolina,2017,3,12,0.25,284,408,-124,171,26.71
Coastal Carolina,2018,5,12,0.4166666666666667,320,398,-78,126,97.11
Coastal Carolina,2019,5,12,0.4166666666666667,364,366,-2,126,96.51
Coastal Carolina,2020,11,12,0.9166666666666666,446,243,203,114,120.13
Coastal Carolina,2021,11,13,0.8461538461538461,532,281,251,122,125.06
Coastal Carolina,2022,9,13,0.6923076923076923,378,414,-36,116,136.61
Coastal Carolina,2023,8,13,0.6153846153846154,360,310,50,84,150.67
Colgate,2015,9,14,0.6428571428571429,356,401,-45,189,9.83
Colgate,2016,5,10,0.5,311,234,77,195,13.26
Colgate,2017,7,11,0.6363636363636364,305,192,113,173,26.17
Colgate,2018,10,12,0.8333333333333334,324,112,212,221,15.51
Colgate,2019,4,12,0.3333333333333333,178,324,-146,227,10.05
Colgate,2020,0,2,0.0,18,64,-46,229,6.98
Colgate,2021,5,11,0.4545454545454545,206,287,-81,226,13.03
Colgate,2022,3,11,0.2727272727272727,237,335,-98,245,4.97
Colorado,2015,4,13,0.3076923076923077,320,357,-37,68,151.29
Colorado,2016,10,14,0.7142857142857143,435,304,131,74,147.9
Colorado,2017,5,12,0.4166666666666667,317,338,-21,69,162.04
Colorado,2018,5,12,0.4166666666666667,325,327,-2,69,160.42
Colorado,2019,5,12,0.4166666666666667,282,382,-100,35,203.78
Colorado,2020,4,6,0.6666666666666666,171,190,-19,53,187.11
Colorado,2021,4,12,0.3333333333333333,225,320,-95,44,194.55
Colorado,2022,1,12,0.0833333333333333,185,534,-349,36,203.17
Colorado,2023,4,12,0.3333333333333333,338,418,-80,65,167.11
Colorado State,2015,7,13,0.5384615384615384,385,354,31,84,132.61
Colorado State,2016,7,13,0.5384615384615384,459,395,64,86,122.77
Colorado State,2017,7,13,0.5384615384615384,434,361,73,119,101.72
Colorado State,2018,3,12,0.25,274,441,-167,76,150.5
Colorado State,2019,4,12,0.3333333333333333,337,374,-37,73,158.09
Colorado State,2020,1,4,0.25,89,143,-54,86,152.79
Colorado State,2021,3,12,0.25,284,339,-55,84,155.22
Colorado State,2022,3,12,0.25,158,323,-165,102,142.8
Colorado State,2023,5,12,0.4166666666666667,313,355,-42,89,144.67
Columbia,2015,2,10,0.2,143,198,-55,184,10.79
Columbia,2016,3,10,0.3,185,247,-62,230,6.67
Columbia,2017,8,10,0.8,239,175,64,219,9.46
Columbia,2018,6,10,0.6,231,252,-21,130,90.67
Columbia,2019,3,10,0.3,193,286,-93,167,43.63
Columbia,2022,6,10,0.6,265,208,57,149,62.05
Columbia,2023,3,10,0.3,149,182,-33,159,18.29
Cornell,2016,4,10,0.4,230,310,-80,218,8.82
Cornell,2017,3,10,0.3,173,243,-70,198,13.69
Cornell,2018,3,10,0.3,191,297,-106,232,12.21
Cornell,2019,4,10,0.4,206,207,-1,181,32.15
Cornell,2022,5,10,0.5,216,283,-67,211,15.89
Dartmouth,2015,9,10,0.9,288,101,187,213,3.31
Dartmouth,2017,8,10,0.8,274,200,74,172,26.36
Dartmouth,2018,9,10,0.9,340,120,220,172,42.51
Dartmouth,2019,9,10,0.9,333,124,209,177,35.05
Dartmouth,2021,9,10,0.9,306,147,159,160,54.85
Dartmouth,2022,3,10,0.3,201,205,-4,148,64.97
Davidson,2022,8,12,0.6666666666666666,383,292,91,172,34.64
Dayton,2019,8,11,0.7272727272727273,468,382,86,224,10.68
Delaware,2015,4,11,0.3636363636363636,164,225,-61,147,28.63
Delaware,2016,4,11,0.3636363636363636,242,276,-34,165,20.34
Delaware,2017,7,11,0.6363636363636364,233,185,48,162,32.38
Delaware,2018,7,12,0.5833333333333334,293,258,35,184,32.74
Delaware,2019,5,12,0.4166666666666667,278,344,-66,152,58.54
Delaware,2020,7,8,0.875,206,115,91,225,7.98
Delaware,2021,5,11,0.4545454545454545,217,257,-40,176,35.61
Delaware,2022,8,13,0.6153846153846154,366,237,129,199,20.1
Delaware State,2016,0,11,0.0,162,437,-275,212,9.86
Delaware State,2017,2,11,0.1818181818181818,158,420,-262,236,4.98
Delaware State,2018,3,11,0.2727272727272727,184,369,-185,209,19.92
Delaware State,2019,2,12,0.1666666666666666,235,369,-134,221,11.65
Drake,2018,7,11,0.6363636363636364,326,210,116,259,5.31
Drake,2020,2,5,0.4,91,64,27,245,0.97
Duke,2015,8,13,0.6153846153846154,410,330,80,71,148.96
Duke,2016,4,12,0.3333333333333333,280,338,-58,61,166.35
Duke,2017,7,13,0.5384615384615384,345,263,82,52,175.77
Duke,2018,8,13,0.6153846153846154,382,356,26,33,204.67
Duke,2019,5,12,0.4166666666666667,303,350,-47,47,184.46
Duke,2020,2,11,0.1818181818181818,273,419,-146,63,176.85
Duke,2021,3,12,0.25,274,477,-203,49,191.38
Duke,2022,9,13,0.6923076923076923,427,287,140,61,171.72
Duke,2023,8,13,0.6153846153846154,350,247,103,58,176.16
Duquesne,2015,8,12,0.6666666666666666,368,231,137,150,25.58
Duquesne,2016,8,11,0.7272727272727273,343,273,70,221,8.32
Duquesne,2017,7,11,0.6363636363636364,354,262,92,161,32.39
Duquesne,2020,4,4,1.0,102,54,48,191,16.59
Duquesne,2021,7,10,0.7,295,229,66,240,7.52
Duquesne,2023,7,12,0.5833333333333334,325,361,-36,176,12.14
East Carolina,2015,5,12,0.4166666666666667,329,312,17,73,146.66
East Carolina,2016,3,12,0.25,324,433,-109,76,136.87
East Carolina,2017,3,12,0.25,299,540,-241,93,126.85
East Carolina,2018,3,12,0.25,273,448,-175,79,146.62
East Carolina,2019,4,12,0.3333333333333333,321,404,-83,79,144.55
East Carolina,2020,3,9,0.3333333333333333,272,319,-47,89,147.43
East Carolina,2021,7,12,0.5833333333333334,356,315,41,78,158.4
East Carolina,2022,8,13,0.6153846153846154,423,353,70,70,163.06
East Carolina,2023,2,12,0.1666666666666666,208,269,-61,96,139.28
East Tennessee State,2016,5,11,0.4545454545454545,174,308,-134,159,23.78
East Tennessee State,2017,4,11,0.3636363636363636,211,313,-102,164,31.28
East Tennessee State,2019,3,12,0.25,241,314,-73,190,27.81
East Tennessee State,2020,4,6,0.6666666666666666,126,113,13,219,8.53
East Tennessee State,2021,11,13,0.8461538461538461,425,295,130,184,32.91
East Tennessee State,2022,3,11,0.2727272727272727,323,336,-13,168,35.94
Eastern Illinois,2016,6,11,0.5454545454545454,294,310,-16,158,24.03
Eastern Illinois,2018,3,11,0.2727272727272727,357,445,-88,199,25.15
Eastern Illinois,2019,1,12,0.0833333333333333,177,364,-187,242,6.67
Eastern Illinois,2020,1,6,0.1666666666666666,120,201,-81,240,3.97
Eastern Illinois,2021,1,11,0.0909090909090909,160,312,-152,173,37.39
Eastern Illinois,2022,2,11,0.1818181818181818,245,343,-98,159,42.77
Eastern Kentucky,2016,3,11,0.2727272727272727,287,336,-49,196,13.24
Eastern Kentucky,2017,4,11,0.3636363636363636,228,292,-64,211,11.01
Eastern Kentucky,2018,7,11,0.6363636363636364,296,316,-20,154,56.1
Eastern Kentucky,2019,7,12,0.5833333333333334,335,264,71,142,73.32
Eastern Kentucky,2020,3,9,0.3333333333333333,217,299,-82,141,73.04
Eastern Kentucky,2021,7,11,0.6363636363636364,304,275,29,140,90.32
Eastern Kentucky,2022,7,12,0.5833333333333334,434,422,12,151,60.5
Eastern Michigan,2015,1,12,0.0833333333333333,305,505,-200,113,98.58
Eastern Michigan,2016,7,13,0.5384615384615384,385,388,-3,124,84.89
Eastern Michigan,2017,5,12,0.4166666666666667,313,280,33,115,110.15
Eastern Michigan,2018,7,13,0.5384615384615384,351,287,64,121,102.89
Eastern Michigan,2019,6,13,0.4615384615384615,379,398,-19,123,100.97
Eastern Michigan,2020,2,6,0.3333333333333333,199,216,-17,110,121.54
Eastern Michigan,2021,7,13,0.5384615384615384,392,390,2,123,124.99
Eastern Michigan,2022,9,13,0.6923076923076923,387,370,17,115,136.77
Eastern Michigan,2023,6,13,0.4615384615384615,254,347,-93,112,128.54
Eastern Washington,2015,6,11,0.5454545454545454,381,435,-54,154,23.93
Eastern Washington,2016,12,14,0.8571428571428571,593,371,222,179,16.52
Eastern Washington,2017,7,11,0.6363636363636364,379,367,12,179,22.02
Eastern Washington,2018,12,15,0.8,647,340,307,145,64.63
Eastern Washington,2019,7,12,0.5833333333333334,487,415,72,130,92.82
Eastern Washington,2020,5,7,0.7142857142857143,264,188,76,140,75.03
Eastern Washington,2021,10,13,0.7692307692307693,572,362,210,138,94.76
Eastern Washington,2022,3,11,0.2727272727272727,271,466,-195,128,117.96
Eastern Washington,2023,4,11,0.3636363636363636,355,397,-42,138,48.13
