team,year,win,points_scored,points_allowed,games_played,win_pct,point_diff
Bryant,2019,4,199,325,12,0.3333333333333333,-126
Bryant,2020,2,70,58,4,0.5,12
Bryant,2021,7,330,249,11,0.6363636363636364,81
Bryant,2022,4,366,331,11,0.36363636363636365,35
Bryant,2023,6,343,287,11,0.5454545454545454,56
Bucknell,2015,4,172,206,11,0.36363636363636365,-34
Bucknell,2016,4,232,263,11,0.36363636363636365,-31
Bucknell,2017,5,185,249,11,0.45454545454545453,-64
Bucknell,2018,1,147,311,11,0.09090909090909091,-164
Bucknell,2019,3,179,357,11,0.2727272727272727,-178
Bucknell,2020,2,71,77,4,0.5,-6
Bucknell,2021,1,104,417,11,0.09090909090909091,-313
Bucknell,2022,3,141,312,11,0.2727272727272727,-171
Bucknell,2023,4,288,371,11,0.36363636363636365,-83
Buena Vista,2022,4,227,433,10,0.4,-206
Buena Vista,2023,2,143,415,10,0.2,-272
Buffalo,2015,5,320,331,12,0.4166666666666667,-11
Buffalo,2016,2,198,388,12,0.16666666666666666,-190
Buffalo,2017,6,342,298,12,0.5,44
Buffalo,2018,10,484,363,14,0.7142857142857143,121
Buffalo,2019,8,409,277,13,0.6153846153846154,132
Buffalo,2020,6,304,153,7,0.8571428571428571,151
Buffalo,2021,4,351,359,12,0.3333333333333333,-8
Buffalo,2022,7,371,347,13,0.5384615384615384,24
Buffalo,2023,3,251,329,12,0.25,-78
Buffalo State,2022,0,84,457,10,0.0,-373
Buffalo State,2023,2,209,358,10,0.2,-149
Butler,2015,5,269,255,10,0.5,14
Butler,2016,4,270,318,11,0.36363636363636365,-48
Butler,2017,6,294,275,11,0.5454545454545454,19
Butler,2018,4,259,372,11,0.36363636363636365,-113
Butler,2019,3,238,428,12,0.25,-190
Butler,2020,0,91,175,6,0.0,-84
Butler,2021,3,262,377,11,0.2727272727272727,-115
Butler,2022,7,300,244,11,0.6363636363636364,56
Butler,2023,7,318,193,11,0.6363636363636364,125
CSU Pueblo,2021,6,297,197,11,0.5454545454545454,100
CSU Pueblo,2022,8,432,263,12,0.6666666666666666,169
CSU Pueblo,2023,8,462,262,11,0.7272727272727273,200
Cal Poly,2015,4,372,390,11,0.36363636363636365,-18
Cal Poly,2016,7,416,394,12,0.5833333333333334,22
Cal Poly,2017,1,203,352,11,0.09090909090909091,-149
Cal Poly,2018,5,315,400,11,0.45454545454545453,-85
Cal Poly,2019,3,277,375,11,0.2727272727272727,-98
Cal Poly,2020,0,58,169,3,0.0,-111
Cal Poly,2021,2,169,431,11,0.18181818181818182,-262
Cal Poly,2022,2,241,467,11,0.18181818181818182,-226
Cal Poly,2023,3,226,434,11,0.2727272727272727,-208
California,2015,8,493,399,13,0.6153846153846154,94
California,2016,5,445,511,12,0.4166666666666667,-66
California,2017,5,333,341,12,0.4166666666666667,-8
California,2018,7,280,258,13,0.5384615384615384,22
California,2019,8,276,285,13,0.6153846153846154,-9
California,2020,1,81,106,4,0.25,-25
California,2021,5,285,267,12,0.4166666666666667,18
California,2022,4,287,334,12,0.3333333333333333,-47
California,2023,6,393,426,13,0.46153846153846156,-33
California Lutheran University,2022,4,264,288,10,0.4,-24
California Lutheran University,2023,3,256,299,10,0.3,-43
Campbell,2015,5,270,195,11,0.45454545454545453,75
Campbell,2016,5,281,244,10,0.5,37
Campbell,2017,6,372,247,11,0.5454545454545454,125
Campbell,2018,6,273,242,11,0.5454545454545454,31
Campbell,2019,6,325,341,11,0.5454545454545454,-16
Campbell,2020,0,82,188,4,0.0,-106
Campbell,2021,3,282,321,11,0.2727272727272727,-39
Campbell,2022,5,341,311,11,0.45454545454545453,30
Campbell,2023,5,316,366,11,0.45454545454545453,-50
Capital,2020,0,50,186,4,0.0,-136
Capital,2022,0,185,415,10,0.0,-230
Capital,2023,1,222,484,10,0.1,-262
Carleton,2022,6,346,186,9,0.6666666666666666,160
Carleton,2023,7,293,316,10,0.7,-23
Carnegie Mellon,2020,2,107,63,4,0.5,44
Carnegie Mellon,2022,10,302,151,12,0.8333333333333334,151
Carnegie Mellon,2023,9,351,105,10,0.9,246
Carroll University (WI),2022,6,293,305,10,0.6,-12
Carroll University (WI),2023,5,364,280,10,0.5,84
Carson-Newman College,2020,1,40,37,1,1.0,3
Carson-Newman College,2021,1,127,378,10,0.1,-251
Carson-Newman College,2022,6,284,262,11,0.5454545454545454,22
Carson-Newman College,2023,5,245,231,11,0.45454545454545453,14
Carthage,2020,2,62,19,2,1.0,43
Carthage,2022,3,194,411,10,0.3,-217
Carthage,2023,3,161,346,10,0.3,-185
Case Western Reserve,2022,6,284,185,10,0.6,99
Case Western Reserve,2023,7,295,135,10,0.7,160
Castleton,2022,5,272,193,10,0.5,79
Castleton,2023,2,157,256,9,0.2222222222222222,-99
Catawba,2015,1,35,21,1,1.0,14
Catawba,2017,1,27,20,1,1.0,7
Catawba,2020,0,27,61,2,0.0,-34
Catawba,2021,5,177,229,9,0.5555555555555556,-52
Catawba,2022,1,216,450,11,0.09090909090909091,-234
Catawba,2023,5,280,286,11,0.45454545454545453,-6
Catholic,2019,0,0,69,1,0.0,-69
Catholic,2022,6,248,266,10,0.6,-18
Catholic,2023,5,259,278,10,0.5,-19
Central Arkansas,2015,6,268,263,10,0.6,5
Central Arkansas,2016,10,430,282,13,0.7692307692307693,148
Central Arkansas,2017,10,429,210,12,0.8333333333333334,219
Central Arkansas,2018,6,336,287,11,0.5454545454545454,49
Central Arkansas,2019,9,361,346,13,0.6923076923076923,15
Central Arkansas,2020,5,291,261,9,0.5555555555555556,30
Central Arkansas,2021,5,379,316,11,0.45454545454545453,63
Central Arkansas,2022,5,353,351,11,0.45454545454545453,2
Central Arkansas,2023,7,337,246,11,0.6363636363636364,91
Central College,2020,2,86,33,2,1.0,53
Central College,2022,7,413,214,10,0.7,199
Central College,2023,8,428,162,10,0.8,266
Central Connecticut,2015,4,190,283,11,0.36363636363636365,-93
Central Connecticut,2016,2,245,383,11,0.18181818181818182,-138
Central Connecticut,2017,8,352,313,12,0.6666666666666666,39
Central Connecticut,2018,6,372,280,11,0.5454545454545454,92
Central Connecticut,2019,11,440,262,13,0.8461538461538461,178
Central Connecticut,2021,4,232,339,11,0.36363636363636365,-107
Central Connecticut,2022,2,191,323,11,0.18181818181818182,-132
Central Connecticut,2023,3,277,343,11,0.2727272727272727,-66
Central Michigan,2015,7,336,286,13,0.5384615384615384,50
Central Michigan,2016,6,342,394,13,0.46153846153846156,-52
Central Michigan,2017,8,370,358,13,0.6153846153846154,12
Central Michigan,2018,1,180,328,12,0.08333333333333333,-148
Central Michigan,2019,8,426,396,14,0.5714285714285714,30
Central Michigan,2020,3,188,181,6,0.5,7
Central Michigan,2021,9,420,335,13,0.6923076923076923,85
Central Michigan,2022,4,297,338,12,0.3333333333333333,-41
Central Michigan,2023,5,278,373,12,0.4166666666666667,-95
Central Missouri,2021,4,327,364,11,0.36363636363636365,-37
Central Missouri,2022,4,262,288,11,0.36363636363636365,-26
Central Missouri,2023,11,642,349,13,0.8461538461538461,293
Central Oklahoma,2021,4,285,276,11,0.36363636363636365,9
Central Oklahoma,2022,6,247,239,11,0.5454545454545454,8
